"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu001520" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfuromonadales" "GR-WP33-58" NA NA
"Otu001542" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA NA
"Otu001556" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriales_unclassified" NA NA
"Otu001594" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" NA NA
"Otu001649" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Hados.Sed.Eubac.3" NA NA
"Otu001662" "Bacteria" "Cyanobacteria" "Melainabacteria" "Obscuribacterales" "Obscuribacterales_unclassified" NA NA
"Otu001663" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinobacteria_unclassified" "Actinobacteria_unclassified" NA NA
"Otu001690" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" NA NA
"Otu001697" "Bacteria" "Fibrobacteres" "Fibrobacteria" "Fibrobacterales" "Fibrobacteraceae" NA NA
"Otu001791" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"Otu001802" "Bacteria" "Cyanobacteria" "Melainabacteria" "Gastranaerophilales" "Gastranaerophilales_unclassified" NA NA
"Otu001854" "Bacteria" "Candidate_division_SR1" "Candidate_division_SR1_unclassified" "Candidate_division_SR1_unclassified" "Candidate_division_SR1_unclassified" NA NA
"Otu001908" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Thiotrichales_Incertae_Sedis" NA NA
"Otu002028" "Bacteria" "OC31" "OC31_unclassified" "OC31_unclassified" "OC31_unclassified" NA NA
"Otu002030" "Bacteria" "Chloroflexi" "KD4-96" "KD4-96_unclassified" "KD4-96_unclassified" NA NA
"Otu002050" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "JG35-K1-AG5" NA NA
"Otu002057" "Bacteria" "Lentisphaerae" "WCHB1-41" "WCHB1-41_unclassified" "WCHB1-41_unclassified" NA NA
"Otu002083" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Eel-36e1D6" NA NA
"Otu002091" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Sandaracinaceae" NA NA
"Otu002153" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" NA NA
"Otu002168" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Legionellaceae" NA NA
"Otu002215" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Family_XII" NA NA
"Otu002269" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" "Halothiobacillaceae" NA NA
"Otu002314" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Legionellales_unclassified" NA NA
"Otu002359" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "SM2D12" NA NA
"Otu002368" "Bacteria" "Planctomycetes" "vadinHA49" "vadinHA49_unclassified" "vadinHA49_unclassified" NA NA
"Otu002371" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA NA
"Otu002378" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "FukuN18_freshwater_group" NA NA
"Otu002401" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" NA NA
"Otu002422" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "M05-Pitesti" NA NA
