"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000330" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Unclassified" NA
"Otu000338" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "gamIII" "gamIII-A" NA
"Otu000339" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiaceae" "CL500-29_marine_group" NA
"Otu000340" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "NS9_marine_group" "Unclassified" NA
"Otu000343" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexales_unclassified" "Unclassified" NA
"Otu000347" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidia_Incertae_Sedis" "Draconibacteriaceae" "Unclassified" NA
"Otu000356" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Saprospiraceae" "Unclassified" NA
"Otu000358" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Unclassified" NA
"Otu000360" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Blastopirellula" NA
"Otu000363" "Bacteria" "Bacteroidetes" "Bacteroidetes_vadinHA17" "Bacteroidetes_vadinHA17_unclassified" "Bacteroidetes_vadinHA17_unclassified" "Unclassified" NA
"Otu000376" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Schlesneria" NA
"Otu000377" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Unclassified" NA
"Otu000378" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "DEV007" "Unclassified" NA
"Otu000379" "Bacteria" "Proteobacteria" "Betaproteobacteria" "TRA3-20" "TRA3-20_unclassified" "Unclassified" NA
"Otu000384" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIV" "alfIV-A" NA
"Otu000385" "Bacteria" "Proteobacteria" "TA18" "TA18_unclassified" "TA18_unclassified" "Unclassified" NA
"Otu000387" "Bacteria" "Spirochaetae" "Spirochaetes" "Spirochaetales" "Leptospiraceae" "Leptospira" NA
"Otu000390" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Haloferula" NA
